percentile,year,wealth_family
75,1963,110975.8224770335
75,1983,223135.2
75,1989,275774.1
75,1992,248206.1
75,1995,252111
75,1998,308400.2
75,2001,390590
75,2004,418657.9
75,2007,431650.1
75,2010,331930.2
75,2013,326695.2
75,2016,368600
76,1963,115910.52456744717
76,1983,232086.4
76,1989,290141.3
76,1992,259325.1
76,1995,261759.2
76,1998,322682.6
76,2001,407945.7
76,2004,440672.5
76,2007,450201.5
76,2010,356800.1
76,2013,345935.6
76,2016,394500
77,1963,119393.0724369826
77,1983,245381.6
77,1989,303799.3
77,1992,272523.7
77,1995,271576.5
77,1998,337879.8
77,2001,425531.6
77,2004,461402.5
77,2007,475481
77,2010,377967.2
77,2013,368310.6
77,2016,413900
78,1963,124469.31465513863
78,1983,255467.7
78,1989,320927.9
78,1992,284095.4
78,1995,281411
78,1998,360306.8
78,2001,451300.9
78,2004,484930.5
78,2007,508368.6
78,2010,399355.3
78,2013,391407.3
78,2016,438550
79,1963,129465.54695425722
79,1983,263595.5
79,1989,341639
79,1992,297008.8
79,1995,293469.2
79,1998,383619
79,2001,481785
79,2004,519268.6
79,2007,537087.4
79,2010,430481.3
79,2013,414504.1
79,2016,469900
80,1963,136295.4001205035
80,1983,275936.9
80,1989,352834.1
80,1992,310090
80,1995,308816.1
80,1998,403980.3
80,2001,514613.1
80,2004,554878.5
80,2007,575417.7
80,2010,459485.2
80,2013,441622.1
80,2016,499350
81,1963,141586.99806912677
81,1983,291600.9
81,1989,371306.2
81,1992,323691
81,1995,321422.4
81,1998,419325
81,2001,539501.7
81,2004,592396.1
81,2007,609579.1
81,2010,480707.5
81,2013,466059.3
81,2016,542500
82,1963,149222.93826484962
82,1983,304809.2
82,1989,386233
82,1992,335011.2
82,1995,338570.2
82,1998,447653.8
82,2001,567547.1
82,2004,629939.1
82,2007,650804.4
82,2010,512043.6
82,2013,498745.3
82,2016,583600
83,1963,156674.1845958525
83,1983,324322.2
83,1989,406384.3
83,1992,352184.4
83,1995,353807.4
83,1998,472898.9
83,2001,598573.2
83,2004,669338.9
83,2007,676859.8
83,2010,550011.6
83,2013,546732.9
83,2016,624700
84,1963,161891.9669417509
84,1983,342883.8
84,1989,430267.3
84,1992,371353.3
84,1995,377093.9
84,1998,500032.6
84,2001,633121.9
84,2004,707366.4
84,2007,718432.5
84,2010,594114.2
84,2013,597112.7
84,2016,674010
85,1963,174068.75394901284
85,1983,358760.2
85,1989,461240.6
85,1992,396408.7
85,1995,404342.3
85,1998,525543.3
85,2001,671328.7
85,2004,752513.4
85,2007,759310.4
85,2010,639985.4
85,2013,640316
85,2016,739000
86,1963,186036.37954212006
86,1983,381989.4
86,1989,494452.9
86,1992,421615
86,1995,439452.2
86,1998,555731.1
86,2001,725048.5
86,2004,792002.3
86,2007,798625.1
86,2010,691825.3
86,2013,684653.5
86,2016,809400
87,1963,197081.05200465352
87,1983,409881.3
87,1989,541379.3
87,1992,455609.2
87,1995,476707.4
87,1998,590920.8
87,2001,772332.8
87,2004,847769.9
87,2007,849890.4
87,2010,752839.4
87,2013,738786.5
87,2016,883000
88,1963,209110.20780646568
88,1983,439504.5
88,1989,585021.8
88,1992,483331.2
88,1995,511629.3
88,1998,628987.6
88,2001,822015.2
88,2004,917463.6
88,2007,903946.5
88,2010,840160.4
88,2013,802302.5
88,2016,979930
89,1963,221674.65577628964
89,1983,481377.4
89,1989,617972.9
89,1992,529433.8
89,1995,548571.4
89,1998,671997.1
89,2001,891993.3
89,2004,989192.1
89,2007,964221.2
89,2010,937318.8
89,2013,875098.5
89,2016,1072550
90,1963,238860.06371529528
90,1983,520132.9
90,1989,686636.5
90,1992,600222.8
90,1995,597728.3
90,1998,728138.3
90,2001,1009987
90,2004,1061684
90,2007,1054141
90,2010,1052494
90,2013,971506.8
90,2016,1186570
91,1963,258678.8819959874
91,1983,575612.4
91,1989,743433.3
91,1992,650870.3
91,1995,654746.4
91,1998,797337.3
91,2001,1112319
91,2004,1178878
91,2007,1158941
91,2010,1176844
91,2013,1059666
91,2016,1317500
92,1963,281660.41494727565
92,1983,642317.9
92,1989,837491.3
92,1992,707219.8
92,1995,742677.6
92,1998,865355.9
92,2001,1217740
92,2004,1281956
92,2007,1275647
92,2010,1325510
92,2013,1177625
92,2016,1445700
93,1963,313317.70732595783
93,1983,714154.4
93,1989,937128.3
93,1992,808380.6
93,1995,813695.9
93,1998,974392.2
93,2001,1357290
93,2004,1413306
93,2007,1393208
93,2010,1544222
93,2013,1362120
93,2016,1686700
94,1963,349029.7991628522
94,1983,828443.4
94,1989,1057943
94,1992,934680.6
94,1995,923942.6
94,1998,1111757
94,2001,1525752
94,2004,1569226
94,2007,1732275
94,2010,1818487
94,2013,1585323
94,2016,2044300
95,1963,409181.66924962046
95,1983,959195.6
95,1989,1293713
95,1992,1120282
95,1995,1071773
95,1998,1329092
95,2001,1784068
95,2004,1818012
95,2007,2200426
95,2010,2060112
95,2013,1929816
95,2016,2387250
96,1963,466767.75028111454
96,1983,1146953
96,1989,1563087
96,1992,1289766
96,1995,1241059
96,1998,1590543
96,2001,2094058
96,2004,2267587
96,2007,2762677
96,2010,2428628
96,2013,2405155
96,2016,2838000
97,1963,600177.4249087994
97,1983,1450927
97,1989,1907823
97,1992,1714132
97,1995,1573678
97,1998,1966490
97,2001,2788419
97,2004,2794360
97,2007,3687120
97,2010,3147424
97,2013,3178999
97,2016,3693600
98,1963,758199.0797798475
98,1983,1972661
98,1989,2516019
98,1992,2355443
98,1995,2068379
98,1998,2971055
98,2001,4362268
98,2004,4207818
98,2007,5371453
98,2010,4725281
98,2013,4516239
98,2016,5793500
99,1963,1457200.523900879
99,1983,3323063
99,1989,4330717
99,1992,3893734
99,1995,3851431
99,1998,5609395
99,2001,7946202
99,2004,8083447
99,2007,9697843
99,2010,7534142
99,2013,8125517
99,2016,10400000
